,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
1272,27264-11,Тахометры,,мод. АТТ-6000,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-20T00:00:00Z,2016-27264-11.pdf
1273,57709-14,"Штангенциркули торговой марки ""Калиброн""",,мод. ШЦ I,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-20T00:00:00Z,2014-57709-14.pdf
1274,57709-14,"Штангенциркули торговой марки ""Калиброн""",,модификация с отсчетом по нониусу двусторонний с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-20T00:00:00Z,2014-57709-14.pdf
1275,43616-10,Тахеометры электронные,,Nikon Nivo 2.C,"Nikon Nivo 1.C, Nikon Nivo 2.C, Nikon Nivo 2.M, Nikon Nivo 3.C, Nikon Nivo 3.M, Nikon Nivo 5.C, Nikon Nivo 5.M, Nikon Nivo 5.MW",,,"Фирма ""Trimble Navigation Ltd."", США",2021-10-20T00:00:00Z,2015-43616-10.pdf
1276,27264-11,Тахометры,,нет модификации,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-20T00:00:00Z,2016-27264-11.pdf
1277,72468-18,Весы автомобильные,,80 тонн,БЕЛКА,,,"ООО ""Инженерный центр ""АСИ"", г.Кемерово",2021-10-20T00:00:00Z,2019-72468-18.pdf
1278,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ-90,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-20T00:00:00Z,2008-27361-04.pdf
1279,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ-3-15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-20T00:00:00Z,2008-27361-04.pdf
1280,49149-12,Амперметры лабораторные,,Амперметр лабораторный Э539М,"Э535М, Э536М, Э537М, Э538М, Э539М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2021-10-20T00:00:00Z,2012-49149-12.pdf
1281,77293-20,"Кольца торговой марки ""КАЛИБР""",,исполнение 1, ,,,"ООО Южно-Уральский Инструментальный Завод ""КАЛИБР"", г.Челябинск",2021-10-20T00:00:00Z,2020-77293-20.pdf
1282,68997-17,Сигнализаторы загазованности комбинированные,,Исп. RGDCO0MP1,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2021-10-20T00:00:00Z,2017-68997-17.pdf
1283,64125-16,Система автоматизированная информационно-измерительная,,нет модификации,МАРС МЕРА 3М,,,"ООО ""НПП ""Мера"", г.Мытищи",2021-10-20T00:00:00Z,2016-64125-16.pdf
1284,57709-14,"Штангенциркули торговой марки ""Калиброн""",,0...250 мм,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-20T00:00:00Z,2014-57709-14.pdf
1285,59280-14,Сейсмодатчики,,СД 4-02,СД 4,,,"АО ""НИИ физических измерений"" (НИИФИ), г.Пенза",2021-10-20T00:00:00Z,2019-59280-14.pdf
1286,79562-20,Меры электрического сопротивления многозначные,,"МС3055, кт 0,02",типа МС 3055,,,"Общество с ограниченной ответственностью предприятие ""ЗИП-Научприбор"" (ООО предприятие ""ЗИП-Научприбор""), г. Краснодар",2021-10-20T00:00:00Z,2020-79562-20.pdf
1287,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"Штангенциркуль торговой марки «Калиброн» двусторонний с глубиномером с отсчетом по нониусу, 0-125 мм с ценой деления 0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-20T00:00:00Z,2014-57709-14.pdf
1288,57709-14,"Штангенциркули торговой марки ""Калиброн""",,модификация с отсчетом по нониусу двусторонний без глубиномера,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-20T00:00:00Z,2014-57709-14.pdf
1289,61877-15,Теплосчетчики,,Нет модификации,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2021-10-20T00:00:00Z,2015-61877-15.pdf
1290,68997-17,Сигнализаторы загазованности комбинированные,,Segugio CO RGD CO0MP1,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2021-10-20T00:00:00Z,2017-68997-17.pdf
1291,56559-14,Источники излучения в виде моделей черного тела,,серии M300,М300,,,"Фирма ""LumaSense Technologies, Inc."", США",2021-10-20T00:00:00Z,2019-56559-14.pdf
1292,56796-14,Весы неавтоматического действия,,НТ-120,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-20T00:00:00Z,2014-56796-14.pdf
1293,54895-13,Машины для испытаний,,"ИП-1А, мод. ИП-1А-500",ИП-1А,,,"ООО ""Внедрение Научно-Исследовательских Разработок - производство"", г.Москва",2021-10-21T00:00:00Z,2013-54895-13.pdf
1294,47268-11,Контроллеры цифровые,,UM33A,U,,,"Фирма ""Yokogawa Electric Korea Co., Ltd."", Корея",2021-10-21T00:00:00Z,2011-47268-11-2.pdf
1295,53565-13,Генераторы сигналов произвольной формы,,33512В,"33509В, 33510В, 33511В, 33512В, 33519В, 33520В, 33521В, 33522В",,,"Фирма ""Agilent Technologies"", Малайзия",2021-10-21T00:00:00Z,2013-53565-13.pdf
1296,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Владимир СКВ-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-21T00:00:00Z,2008-27361-04.pdf
1297,55535-13,Тахеометры электронные,,"Nikon NPL-322, модель Nikon NPL-322 5""",Nikon NPL-322,,,"Фирма ""Trimble Navigation Ltd."", США",2021-10-21T00:00:00Z,2013-55535-13.pdf
1298,39667-08,Акселерометры пьезоэлектрические,,4384,4300,,,"Фирма ""Bruel & Kjaer"", Дания",2021-10-21T00:00:00Z,2014-39667-08.pdf
1299,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-III-320-1000-0,1",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-21T00:00:00Z,2014-57709-14.pdf
1300,64188-16,Индикаторы,,ИЧ 3,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-21T00:00:00Z,2016-64188-16.pdf
1301,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,-,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-10-21T00:00:00Z,2016-64541-16.pdf
1302,77293-20,"Кольца торговой марки ""КАЛИБР""",,Нет модификации, ,,,"ООО Южно-Уральский Инструментальный Завод ""КАЛИБР"", г.Челябинск",2021-10-21T00:00:00Z,2020-77293-20.pdf
1303,27264-11,Тахометры,,АТТ серии 6000,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-21T00:00:00Z,2016-27264-11.pdf
1304,48282-11,Пиргелиометры,,Нет модификации,CHP 1,,,"Фирма ""Kipp & Zonen B.V."", Нидерланды",2021-10-21T00:00:00Z,2016-48282-11.pdf
1305,27264-11,Тахометры,,АТТ- 6000,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-21T00:00:00Z,2016-27264-11.pdf
1306,34127-07,pH-метры,,мод. ЭКСПЕРТ-pH,ЭКСПЕРТ-pH,,,"ООО ""Эконикс-Эксперт"", г.Москва",2021-10-21T00:00:00Z,2018-34127-07.pdf
1307,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Владимир СКВГ-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-21T00:00:00Z,2008-27361-04.pdf
1308,57709-14,"Штангенциркули торговой марки ""Калиброн""",,ШЦ-II-250,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-21T00:00:00Z,2014-57709-14.pdf
1309,51427-12,Микроомметры,,C.A 6240,"C.A 6240, C.A 6292",,,"Фирма ""Chauvin-Arnoux"", Франция",2021-10-21T00:00:00Z,2017-51427-12.pdf
1310,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"""Калиброн"" двусторонний с глубиномером с цифровым отсчётным устройством",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-21T00:00:00Z,2014-57709-14.pdf
1311,59942-15,Газоанализаторы стационарные оптические,,нет модификации,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-10-21T00:00:00Z,2019-59942-15.pdf
1312,69578-17,Термометры технические жидкостные,,ТТЖ-Х.,ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-10-21T00:00:00Z,2021-69578-17.pdf
1313,27264-11,Тахометры,,Фото-строботахометр  АТТ-6002,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-21T00:00:00Z,2016-27264-11.pdf
1314,57709-14,"Штангенциркули торговой марки ""Калиброн""",,от 0 до 250 мм,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-21T00:00:00Z,2014-57709-14.pdf
1315,42736-09,Клещи токовые,,модификация АТК-2103,"ATA-2500, ATA-2502, ATK-2025, ATK-2102, ATK-2103, ATK-2105, ATK-2208",,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-21T00:00:00Z,2019-42736-09.pdf
1316,45959-10,Штангенглубиномеры,,"MarCal 30 EWN (0 - 100) мм, дискр. 0,01 мм","MarCal 30 EWR, MarCal 30 ER, MarCal 30 EWN",,,"Фирма ""Mahr GmbH Esslingen"", Германия",2021-10-21T00:00:00Z,2015-45959-10.pdf
1317,57788-14,Источники питания постоянного тока,,N8940A,N8900,,,"Фирма ""Agilent Technologies"", Малайзия",2021-10-21T00:00:00Z,2014-57788-14-1.pdf
1318,64199-16,Тепловычислители,,Нет модификации,СПТ944,,,"АО ""НПФ ""Логика"", г.С.-Петербург",2021-10-21T00:00:00Z,2016-64199-16-2.pdf
1319,46659-11,Клещи электроизмерительные,,APPA А10N,"APPA A6, APPA A6D, APPA A6DR, APPA A7A, APPA A7D, APPA A9, APPA A10N",,,"Фирма ""APPA Technology Corporation"", Тайвань",2021-10-21T00:00:00Z,2016-46659-11.pdf
1320,56796-14,Весы неавтоматического действия,,Нет модификации,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-10-21T00:00:00Z,2014-56796-14.pdf
1321,64863-16,Газоанализаторы,,-,ФП34,,,"НП ОДО ""Фармэк"", Беларусь, г.Минск",2021-10-21T00:00:00Z,2016-64863-16.pdf
1322,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-М11-2- метан,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-10-21T00:00:00Z,2019-59942-15.pdf
1323,57709-14,"Штангенциркули торговой марки ""Калиброн""",,двусторонний с глубиномером с цифровым отсчетом,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-21T00:00:00Z,2014-57709-14.pdf
1324,79348-20,Весы неавтоматического действия,,MCA1203S-2ORU-U,"MCA, MCE",,,"Фирма ""Sartorius Lab Instruments GmbH & Co. KG"", Германия",2021-10-21T00:00:00Z,2021-79348-20.pdf
1325,48905-12,Измерители магнитной индукции,,модификация П3-81-01,П3-81,,,"ООО ""ПКФ Цифровые приборы"", г.Москва",2021-10-21T00:00:00Z,2016-48905-12.pdf
1326,48026-11,Весы лабораторные,,"ВК, модификация ВК-300.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-21T00:00:00Z,2021-48026-11.pdf
1327,48026-11,Весы лабораторные,,"ВК, модификации ВК-3000.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-21T00:00:00Z,2021-48026-11.pdf
1328,27264-11,Тахометры,,АТТ серии 6000 мод. 6006,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-10-21T00:00:00Z,2016-27264-11.pdf
1329,62936-15,Источники питания постоянного тока линейные,,HMC 8043,"HMC8041, HMC8042, HMC8043",,,"Фирма ""Rohde & Schwarz GmbH & Co. KG"", Германия",2021-10-21T00:00:00Z,2015-62936-15.pdf
